CODICE_INDIVIDUO	SESSO	DATA_NASCITA	COD_PROV_RESIDENZA	FL_ITA	POP_ABC_2017	TS_APR4_2017	PESO_CAL_PROV	G_ISTR_2016_CDIFF_CORR	G_ISTR_2017_CDIFF_CORR	VAR18	CLETA_18	TS_MS18_CDIFF	SIREA	FOLD
88	M	19541026	19	1	B	99	15.13700529	4	4	99	13	4	0	3
89	F	19610625	16	1	B	99	37.52009581	4	4	99	13	5	0	4
90	M	19630125	14	1	B	99	12.32010789	4	4	99	13	4	0	1
91	F	19701024	97	1	B	99	13.5801342	4	4	99	12	5	0	3
92	M	19740429	16	1	B	99	42.03873497	5	5	99	12	5	0	4
93	F	19760622	16	1	B	99	9.876269659	4	4	99	12	4	0	4
94	M	19930403	18	1	A	99	20.36352166	5	6	99	9	6	0	4
95	F	19281221	13	1	B	99	20.1257826	4	4	99	14	5	0	1
96	M	19310126	18	1	B	99	21.81813525	4	4	99	14	3	0	1
97	M	19401104	19	1	B	99	13.62774629	3	3	99	14	3	0	1
98	F	19410523	18	1	B	99	14.05910248	5	5	99	14	5	0	1
99	M	19600202	12	1	B	99	30.60886691	4	4	99	13	4	0	1
100	M	19600304	108	1	B	99	27.81906816	5	5	99	13	4	0	2
